val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.Ox.weV,val.Ox.cnc,val.Ox.aeV,val.Ox.weC,val.NO.weV,val.NO.cnc,val.NO.aeV,val.NO.weC,val.CO.weV,val.CO.cnc,val.CO.aeV,val.CO.weC,val.sht.hmd,val.sht.tmp,rec,tag
0.299692,-4.5,0.29663,-0.001146,0.399194,18.8,0.401944,0.005685,0.31088,80.2,0.312567,0.03088,0.511258,468.3,0.201816,0.134408,62.4,24,2018-09-03T00:16:10.079+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001206,0.399194,18.4,0.401881,0.00556,0.31088,80.2,0.312505,0.03088,0.511445,474.3,0.202753,0.136115,62.4,23.9,2018-09-03T00:16:20.067+00:00,scs-bgb-413
0.299692,-4.9,0.296692,-0.001261,0.399131,18.4,0.401881,0.005558,0.310755,79.9,0.312317,0.030755,0.511008,469.4,0.202316,0.134728,62.4,24,2018-09-03T00:16:30.075+00:00,scs-bgb-413
0.299692,-4.5,0.29663,-0.001146,0.399194,18.8,0.401944,0.005685,0.311067,80.7,0.312567,0.031067,0.510945,468.2,0.202066,0.13438,62.4,24,2018-09-03T00:16:40.079+00:00,scs-bgb-413
0.299567,-4.9,0.29663,-0.001269,0.399006,18.5,0.401944,0.00558,0.31088,80.2,0.312317,0.03088,0.510883,470.3,0.202253,0.134986,62.4,23.9,2018-09-03T00:16:50.069+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399006,17.8,0.401881,0.005385,0.310942,80.4,0.312505,0.030942,0.512445,476.9,0.202941,0.136878,62.4,24,2018-09-03T00:17:00.081+00:00,scs-bgb-413
0.299755,-4.2,0.29663,-0.001081,0.399131,18.3,0.401944,0.005537,0.310692,79.7,0.312317,0.030692,0.51307,480.4,0.202878,0.137882,62.4,23.9,2018-09-03T00:17:10.067+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001206,0.399131,18.7,0.401944,0.005657,0.310817,80,0.312317,0.030817,0.511945,475,0.202503,0.136332,62.4,23.9,2018-09-03T00:17:20.077+00:00,scs-bgb-413
0.299692,-4.4,0.29663,-0.001144,0.399069,17.8,0.401881,0.005364,0.310942,80.4,0.31238,0.030942,0.511758,472.1,0.201941,0.135506,62.4,23.9,2018-09-03T00:17:30.068+00:00,scs-bgb-413
0.299567,-4.5,0.296567,-0.001154,0.399069,18.4,0.401944,0.005547,0.310942,80.4,0.312442,0.030942,0.512508,480.2,0.203316,0.137816,62.4,23.9,2018-09-03T00:17:40.067+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001206,0.399131,19.3,0.402006,0.005816,0.310817,80,0.312442,0.030817,0.512258,477.6,0.202878,0.13707,62.4,23.9,2018-09-03T00:17:50.067+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001206,0.399131,18.7,0.401944,0.005657,0.310755,79.9,0.312317,0.030755,0.512133,476.9,0.202816,0.136874,62.4,23.9,2018-09-03T00:18:00.082+00:00,scs-bgb-413
0.299567,-4.5,0.296567,-0.001156,0.399194,18.8,0.401944,0.005685,0.310942,80.4,0.312567,0.030942,0.511633,473.3,0.202753,0.135851,62.4,24,2018-09-03T00:18:10.073+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001209,0.399194,19,0.401944,0.005733,0.310942,80.4,0.312505,0.030942,0.512258,473.3,0.202191,0.135835,62.4,24,2018-09-03T00:18:20.068+00:00,scs-bgb-413
0.29963,-4.7,0.29663,-0.001206,0.399319,19.9,0.402006,0.006004,0.310755,79.9,0.31238,0.030755,0.51207,471.5,0.201503,0.135323,62.4,23.9,2018-09-03T00:18:30.067+00:00,scs-bgb-413
0.299755,-4.2,0.29663,-0.001084,0.399194,19.1,0.402006,0.005773,0.310755,79.9,0.312317,0.030755,0.510883,466.3,0.201628,0.133819,62.4,24,2018-09-03T00:18:40.067+00:00,scs-bgb-413
0.299692,-4.4,0.29663,-0.001144,0.399069,18.3,0.401944,0.005523,0.310817,80,0.312442,0.030817,0.511945,475.5,0.202628,0.136474,62.4,23.9,2018-09-03T00:18:50.079+00:00,scs-bgb-413
0.299692,-4.4,0.29663,-0.001144,0.399194,18.7,0.401944,0.005648,0.31088,80.2,0.312442,0.03088,0.512633,479.6,0.203066,0.137657,62.4,23.9,2018-09-03T00:19:00.083+00:00,scs-bgb-413
